location_type,stop_id,stop_lat,stop_lon,parent_station,stop_name,stop_code,stop_timezone,preferred,stop_url,wheelchair_boarding,stop_desc,zone_id
0,711,43.93236901,-78.87899819,,Simcoe Southbound @ Taunton (south side stop),711,,1,,1,,
0,713,43.929238,-78.877548,,Simcoe Southbound @ Orchard View,713,,2,,2,,
0,714,43.926397,-78.876283,,Simcoe Southbound @ Beatrice,714,,2,,2,,
0,716,43.921148,-78.873886,,Simcoe Southbound @ Switzer,716,,2,,2,,
0,719,43.902369,-78.870727,,Adelaide Eastbound @ Kaiser,719,,2,,1,,
0,720,43.903236,-78.866944,,Adelaide Eastbound @ Simcoe,720,,2,,1,,
0,721,43.904587,-78.864226,,Adelaide Eastbound @ Kendal,721,,2,,1,,
0,722,43.905681,-78.859663,,Adelaide Eastbound @ Division,722,,2,,1,,
0,724,43.90771,-78.852306,,Adelaide Eastbound @ Central Park,724,,2,,1,,
0,725,43.908797,-78.848831,,Adelaide Eastbound @ Juliana,725,,2,,1,,
0,729,43.913364,-78.833889,,Adelaide Eastbound @ Blackthorn,729,,2,,1,,
0,730,43.91376600000001,-78.831601,,Adelaide Eastbound @ Killdeer,730,,2,,1,,
0,732,43.91408,-78.82607,,Adelaide Eastbound @ Fleetwood,732,,2,,1,,
0,743,43.91399306000001,-78.82981599999998,,Adelaide Westbound @ Cranberry,743,,2,,1,,
0,744,43.91383600000001,-78.832061,,Adelaide Westbound @ Killdeer,744,,2,,1,,
0,745,43.91318900000001,-78.83508999999998,,Adelaide Westbound @ Blackthorn,745,,2,,1,,
0,746,43.912793,-78.837002,,Adelaide Westbound @ Harmony,746,,1,,1,,
0,749,43.908884,-78.848885,,Adelaide Westbound @ Juliana,749,,2,,1,,
0,750,43.907641,-78.852635,,Adelaide Westbound @ Central Park,750,,2,,1,,
0,751,43.906731,-78.85562299999998,,Adelaide Westbound @ Ritson,751,,2,,1,,
0,752,43.905788,-78.859632,,Adelaide Westbound @ Division,752,,2,,1,,
0,753,43.90463900000001,-78.864441,,Adelaide Westbound @ Kendal,753,,2,,1,,
