shape_id,direction_id,trip_id,direction_name,wheelchair_accessible,trip_headsign,block_id,route_id,service_id
100.0.195264850916_Timetable_-_2024-02,0,5015__2012_Timetable_-_2024-02,Eastbound,1,Conlin,b_2012_Timetable_-_2024-02,916,Weekday_merged_999966
100.0.195264850916_Timetable_-_2024-02,0,5016__2023_Timetable_-_2024-02,Eastbound,1,Conlin,b_2023_Timetable_-_2024-02,916,Weekday_merged_999966
100.0.195264850916_Timetable_-_2024-02,0,5017__2019_Timetable_-_2024-02,Eastbound,1,Conlin,b_2019_Timetable_-_2024-02,916,Weekday_merged_999966
100.0.195264850916_Timetable_-_2024-02,0,5018__2016_Timetable_-_2024-02,Eastbound,1,Conlin,b_2016_Timetable_-_2024-02,916,Weekday_merged_999966
100.0.195264850916_Timetable_-_2024-02,0,5019__2014_Timetable_-_2024-02,Eastbound,1,Conlin,b_2014_Timetable_-_2024-02,916,Weekday_merged_999966
100.0.1046829422_Timetable_-_2024-02,1,501__64007_Timetable_-_2024-02,Southbound,1,Oshawa Centre Terminal,b_64007_Timetable_-_2024-02,405,Saturday
100.0.195264850916_Timetable_-_2024-02,0,5020__2024_Timetable_-_2024-02,Eastbound,1,Conlin,b_2024_Timetable_-_2024-02,916,Weekday_merged_999966
100.0.195264850916_Timetable_-_2024-02,0,5021__2017_Timetable_-_2024-02,Eastbound,1,Conlin,b_2017_Timetable_-_2024-02,916,Weekday_merged_999966
100.0.195264850916_Timetable_-_2024-02,0,5022__2018_Timetable_-_2024-02,Eastbound,1,Conlin,b_2018_Timetable_-_2024-02,916,Weekday_merged_999966
100.0.195264850916_Timetable_-_2024-02,0,5023__2076_Timetable_-_2024-02,Eastbound,1,Conlin,b_2076_Timetable_-_2024-02,916,Weekday_merged_999966
100.0.195264850916_Timetable_-_2024-02,0,5024__2015_Timetable_-_2024-02,Eastbound,1,Conlin,b_2015_Timetable_-_2024-02,916,Weekday_merged_999966
100.0.195264850916_Timetable_-_2024-02,0,5025__2020_Timetable_-_2024-02,Eastbound,1,Conlin,b_2020_Timetable_-_2024-02,916,Weekday_merged_999966
100.0.195264850916_Timetable_-_2024-02,0,5026__2022_Timetable_-_2024-02,Eastbound,1,Conlin,b_2022_Timetable_-_2024-02,916,Weekday_merged_999966
100.0.195264850916_Timetable_-_2024-02,0,5027__2021_Timetable_-_2024-02,Eastbound,1,Conlin,b_2021_Timetable_-_2024-02,916,Weekday_merged_999966
100.0.195264850916_Timetable_-_2024-02,0,5028__2012_Timetable_-_2024-02,Eastbound,1,Conlin,b_2012_Timetable_-_2024-02,916,Weekday_merged_999966
100.0.195264850916_Timetable_-_2024-02,0,5029__2023_Timetable_-_2024-02,Eastbound,1,Conlin,b_2023_Timetable_-_2024-02,916,Weekday_merged_999966
100.0.1046829421_Timetable_-_2024-02,0,502__64014_Timetable_-_2024-02,Northbound,1,Harmony,b_64014_Timetable_-_2024-02,405,Saturday
100.0.195264850916_Timetable_-_2024-02,0,5030__2019_Timetable_-_2024-02,Eastbound,1,Conlin,b_2019_Timetable_-_2024-02,916,Weekday_merged_999966
100.0.195264850916_Timetable_-_2024-02,0,5031__2014_Timetable_-_2024-02,Eastbound,1,Conlin,b_2014_Timetable_-_2024-02,916,Weekday_merged_999966
100.0.195264850916_Timetable_-_2024-02,0,5032__2010_Timetable_-_2024-02,Eastbound,1,Conlin,b_2010_Timetable_-_2024-02,916,Weekday_merged_999966
100.0.195264850916_Timetable_-_2024-02,0,5033__2017_Timetable_-_2024-02,Eastbound,1,Conlin,b_2017_Timetable_-_2024-02,916,Weekday_merged_999966
100.0.1952648509161_Timetable_-_2024-02,1,5034__2023_Timetable_-_2024-02,Westbound,1,Pickering Parkway Terminal,b_2023_Timetable_-_2024-02,916,Weekday_merged_999966
100.0.1952648509161_Timetable_-_2024-02,1,5035__2016_Timetable_-_2024-02,Westbound,1,Pickering Parkway Terminal,b_2016_Timetable_-_2024-02,916,Weekday_merged_999966
100.0.1952648509161_Timetable_-_2024-02,1,5036__2014_Timetable_-_2024-02,Westbound,1,Pickering Parkway Terminal,b_2014_Timetable_-_2024-02,916,Weekday_merged_999966
100.0.2219428904_Timetable_-_2024-02,1,5037__2024_Timetable_-_2024-02,Westbound,1,Pickering Parkway Terminal,b_2024_Timetable_-_2024-02,916,Weekday_merged_999966
100.0.1952648509161_Timetable_-_2024-02,1,5038__2017_Timetable_-_2024-02,Westbound,1,Pickering Parkway Terminal,b_2017_Timetable_-_2024-02,916,Weekday_merged_999966
100.0.1952648509161_Timetable_-_2024-02,1,5039__2018_Timetable_-_2024-02,Westbound,1,Pickering Parkway Terminal,b_2018_Timetable_-_2024-02,916,Weekday_merged_999966
100.0.1046829422_Timetable_-_2024-02,1,503__64030_Timetable_-_2024-02,Southbound,1,Oshawa Centre Terminal,b_64030_Timetable_-_2024-02,405,Saturday
100.0.1952648509161_Timetable_-_2024-02,1,5040__2013_Timetable_-_2024-02,Westbound,1,Pickering Parkway Terminal,b_2013_Timetable_-_2024-02,916,Weekday_merged_999966
100.0.1952648509161_Timetable_-_2024-02,1,5041__2015_Timetable_-_2024-02,Westbound,1,Pickering Parkway Terminal,b_2015_Timetable_-_2024-02,916,Weekday_merged_999966
100.0.1952648509161_Timetable_-_2024-02,1,5042__2020_Timetable_-_2024-02,Westbound,1,Pickering Parkway Terminal,b_2020_Timetable_-_2024-02,916,Weekday_merged_999966
100.0.1952648509161_Timetable_-_2024-02,1,5043__2022_Timetable_-_2024-02,Westbound,1,Pickering Parkway Terminal,b_2022_Timetable_-_2024-02,916,Weekday_merged_999966
100.0.1952648509161_Timetable_-_2024-02,1,5044__2021_Timetable_-_2024-02,Westbound,1,Pickering Parkway Terminal,b_2021_Timetable_-_2024-02,916,Weekday_merged_999966
100.0.1952648509161_Timetable_-_2024-02,1,5045__2012_Timetable_-_2024-02,Westbound,1,Pickering Parkway Terminal,b_2012_Timetable_-_2024-02,916,Weekday_merged_999966
100.0.1952648509161_Timetable_-_2024-02,1,5046__2023_Timetable_-_2024-02,Westbound,1,Pickering Parkway Terminal,b_2023_Timetable_-_2024-02,916,Weekday_merged_999966
100.0.1952648509161_Timetable_-_2024-02,1,5047__2019_Timetable_-_2024-02,Westbound,1,Pickering Parkway Terminal,b_2019_Timetable_-_2024-02,916,Weekday_merged_999966
100.0.1952648509161_Timetable_-_2024-02,1,5048__2016_Timetable_-_2024-02,Westbound,1,Pickering Parkway Terminal,b_2016_Timetable_-_2024-02,916,Weekday_merged_999966
100.0.1952648509161_Timetable_-_2024-02,1,5049__2014_Timetable_-_2024-02,Westbound,1,Pickering Parkway Terminal,b_2014_Timetable_-_2024-02,916,Weekday_merged_999966
100.0.1046829421_Timetable_-_2024-02,0,504__64024_Timetable_-_2024-02,Northbound,1,Harmony,b_64024_Timetable_-_2024-02,405,Saturday
100.0.1952648509161_Timetable_-_2024-02,1,5050__2024_Timetable_-_2024-02,Westbound,1,Pickering Parkway Terminal,b_2024_Timetable_-_2024-02,916,Weekday_merged_999966
100.0.1952648509161_Timetable_-_2024-02,1,5051__2017_Timetable_-_2024-02,Westbound,1,Pickering Parkway Terminal,b_2017_Timetable_-_2024-02,916,Weekday_merged_999966
100.0.1952648509161_Timetable_-_2024-02,1,5052__2018_Timetable_-_2024-02,Westbound,1,Pickering Parkway Terminal,b_2018_Timetable_-_2024-02,916,Weekday_merged_999966
100.0.1952648509161_Timetable_-_2024-02,1,5053__2013_Timetable_-_2024-02,Westbound,1,Pickering Parkway Terminal,b_2013_Timetable_-_2024-02,916,Weekday_merged_999966
100.0.1952648509161_Timetable_-_2024-02,1,5054__2015_Timetable_-_2024-02,Westbound,1,Pickering Parkway Terminal,b_2015_Timetable_-_2024-02,916,Weekday_merged_999966
100.0.1952648509161_Timetable_-_2024-02,1,5055__2020_Timetable_-_2024-02,Westbound,1,Pickering Parkway Terminal,b_2020_Timetable_-_2024-02,916,Weekday_merged_999966
100.0.1952648509161_Timetable_-_2024-02,1,5056__2022_Timetable_-_2024-02,Westbound,1,Pickering Parkway Terminal,b_2022_Timetable_-_2024-02,916,Weekday_merged_999966
100.0.1952648509161_Timetable_-_2024-02,1,5057__2021_Timetable_-_2024-02,Westbound,1,Pickering Parkway Terminal,b_2021_Timetable_-_2024-02,916,Weekday_merged_999966
100.0.1952648509161_Timetable_-_2024-02,1,5058__2012_Timetable_-_2024-02,Westbound,1,Pickering Parkway Terminal,b_2012_Timetable_-_2024-02,916,Weekday_merged_999966
100.0.1952648509161_Timetable_-_2024-02,1,5059__2023_Timetable_-_2024-02,Westbound,1,Pickering Parkway Terminal,b_2023_Timetable_-_2024-02,916,Weekday_merged_999966
100.0.1046829422_Timetable_-_2024-02,1,505__64023_Timetable_-_2024-02,Southbound,1,Oshawa Centre Terminal,b_64023_Timetable_-_2024-02,405,Saturday
100.0.1952648509161_Timetable_-_2024-02,1,5060__2019_Timetable_-_2024-02,Westbound,1,Pickering Parkway Terminal,b_2019_Timetable_-_2024-02,916,Weekday_merged_999966
100.0.1952648509161_Timetable_-_2024-02,1,5061__2016_Timetable_-_2024-02,Westbound,1,Pickering Parkway Terminal,b_2016_Timetable_-_2024-02,916,Weekday_merged_999966
100.0.1952648509161_Timetable_-_2024-02,1,5062__2014_Timetable_-_2024-02,Westbound,1,Pickering Parkway Terminal,b_2014_Timetable_-_2024-02,916,Weekday_merged_999966
100.0.1952648509161_Timetable_-_2024-02,1,5063__2024_Timetable_-_2024-02,Westbound,1,Pickering Parkway Terminal,b_2024_Timetable_-_2024-02,916,Weekday_merged_999966
100.0.1952648509161_Timetable_-_2024-02,1,5064__2017_Timetable_-_2024-02,Westbound,1,Pickering Parkway Terminal,b_2017_Timetable_-_2024-02,916,Weekday_merged_999966
100.0.1952648509161_Timetable_-_2024-02,1,5065__2018_Timetable_-_2024-02,Westbound,1,Pickering Parkway Terminal,b_2018_Timetable_-_2024-02,916,Weekday_merged_999966
100.0.1952648509161_Timetable_-_2024-02,1,5066__2076_Timetable_-_2024-02,Westbound,1,Pickering Parkway Terminal,b_2076_Timetable_-_2024-02,916,Weekday_merged_999966
100.0.1952648509161_Timetable_-_2024-02,1,5067__2015_Timetable_-_2024-02,Westbound,1,Pickering Parkway Terminal,b_2015_Timetable_-_2024-02,916,Weekday_merged_999966
